Start station,End station,Date,Total duration (m),Total duration (m)_scaled,Same Start-End,Bike Model Encoded,Weather Description,temperature_2m_scaled,apparent_temperature_scaled,wind_speed_10m_scaled,relative_humidity_2m_scaled,Day_of_Month,Day_of_Week,Hour_of_Day,is_Weekend,Time_of_Day,is_Rainy
"Victoria Rise, Clapham Common","Falcon Road, Clapham Junction",2023-08-25 18:00:00,9.0,0.1627906976744186,False,0,Drizzle,0.5016835016835017,0.43673192527412347,0.4963902550237424,0.31182708584012586,25,5,18,0,Evening,1
"Hollybush Gardens, Bethnal Green","Stratford Station, Stratford",2023-08-31 13:00:00,19.0,0.39534883720930236,False,0,Overcast,0.5420875420875422,0.5151052197457167,0.3688435283138638,0.32882330549711003,31,4,13,0,Afternoon,0
"Coomer Place, West Kensington","The Vale, Chelsea",2023-08-21 15:00:00,11.0,0.20930232558139536,False,0,Cloudy,0.8855219528619529,0.7925688236365673,0.600193084219488,0.18012270679844333,21,1,15,0,Afternoon,0
"Bramham Gardens, Earl's Court","Little Argyll Street, West End",2023-08-21 15:00:00,20.0,0.41860465116279066,False,0,Cloudy,0.8855219528619529,0.7925688236365673,0.600193084219488,0.18012270679844333,21,1,15,0,Afternoon,0
"Barons Court Station, West Kensington","Holland Park, Kensington",2023-08-30 18:00:00,12.0,0.23255813953488372,False,0,Cloudy,0.5252525252525253,0.4467216629686915,0.44015996106378685,0.18381679172313192,30,3,18,0,Evening,0
"The Guildhall, Guildhall","Walworth Square, Walworth",2023-08-30 18:00:00,26.0,0.5581395348837209,False,1,Cloudy,0.5252525252525253,0.4467216629686915,0.44015996106378685,0.18381679172313192,30,3,18,0,Evening,0
"Flood Street, Chelsea","Imperial Wharf Station, Sands End",2023-08-30 18:00:00,13.0,0.2558139534883721,False,0,Cloudy,0.5252525252525253,0.4467216629686915,0.44015996106378685,0.18381679172313192,30,3,18,0,Evening,0
"Copper Box Arena, Queen Elizabeth Olympic Park","Copper Box Arena, Queen Elizabeth Olympic Park",2023-08-30 18:00:00,29.0,0.627906976744186,True,0,Cloudy,0.5252525252525253,0.4467216629686915,0.44015996106378685,0.18381679172313192,30,3,18,0,Evening,0
"St. George's Square, Pimlico","Abingdon Green, Westminster",2023-08-22 09:00:00,8.0,0.13953488372093023,False,0,Cloudy,0.6767676767676769,0.6536521700759319,0.5715908152350145,0.490089691536269,22,2,9,0,Morning,0
"Waterloo Station 1, Waterloo","Holborn Circus, Holborn",2023-08-22 09:00:00,10.0,0.18604651162790697,False,0,Cloudy,0.6767676767676769,0.6536521700759319,0.5715908152350145,0.490089691536269,22,2,9,0,Morning,0
"Stainsby Road , Poplar","Pennington Street, Wapping",2023-08-22 09:00:00,16.0,0.32558139534883723,False,0,Cloudy,0.6767676767676769,0.6536521700759319,0.5715908152350145,0.490089691536269,22,2,9,0,Morning,0
"New Spring Gardens Walk, Vauxhall","Gauden Road, Clapham",2023-08-26 15:00:00,17.0,0.34883720930232553,False,0,Drizzle,0.48484848484848486,0.43551487468559674,0.5420789812281318,0.43992266087111764,26,6,15,1,Afternoon,1
"Limerston Street, West Chelsea","Pont Street, Knightsbridge",2023-08-26 15:00:00,6.0,0.09302325581395349,False,0,Drizzle,0.48484848484848486,0.43551487468559674,0.5420789812281318,0.43992266087111764,26,6,15,1,Afternoon,1
"Great Tower Street, Monument","Tooley Street, Bermondsey",2023-08-06 17:00:00,16.0,0.32558139534883723,False,0,Partly Cloudy,0.569023569023569,0.4604263665442055,0.5886292664228768,0.2030115711098467,6,7,17,1,Evening,0
"Pott Street, Bethnal Green","Harford Street, Mile End",2023-08-06 17:00:00,11.0,0.20930232558139536,False,0,Partly Cloudy,0.569023569023569,0.4604263665442055,0.5886292664228768,0.2030115711098467,6,7,17,1,Evening,0
"Wormwood Street, Liverpool Street","Pott Street, Bethnal Green",2023-08-06 17:00:00,10.0,0.18604651162790697,False,0,Partly Cloudy,0.569023569023569,0.4604263665442055,0.5886292664228768,0.2030115711098467,6,7,17,1,Evening,0
"Broadcasting House, Marylebone","Warwick Avenue Station, Maida Vale",2023-08-06 17:00:00,29.0,0.627906976744186,False,0,Partly Cloudy,0.569023569023569,0.4604263665442055,0.5886292664228768,0.2030115711098467,6,7,17,1,Evening,0
"Whiston Road, Haggerston","New Inn Yard, Shoreditch",2023-08-04 14:00:00,23.0,0.4883720930232558,False,0,Drizzle,0.595959595959596,0.5630392377607583,0.4869967728272037,0.40685551947402987,4,5,14,0,Afternoon,1
"Bishop's Bridge Road West, Bayswater","Prince Consort Road, Knightsbridge",2023-08-26 10:00:00,10.0,0.18604651162790697,False,0,Partly Cloudy,0.5353535353535352,0.4982568789692889,0.5099106792588513,0.43867116345819446,26,6,10,1,Morning,0
