date,temperature_2m,relative_humidity_2m,apparent_temperature,weather_code,wind_speed_10m
2023-08-09 13:00:00+00:00,22.0565,53.251778,22.800955,9.028754,265.42615
2023-08-09 14:00:00+00:00,22.7565,52.04939,22.144817,10.365251,290.3232
2023-08-09 15:00:00+00:00,23.1565,50.80406,22.373173,10.514218,308.0471
2023-08-09 16:00:00+00:00,24.0565,48.91819,23.679928,8.287822,304.3804
2023-08-09 17:00:00+00:00,23.8565,50.16213,23.692638,7.289445,302.90524
2023-08-09 18:00:00+00:00,22.9065,59.13573,23.190939,8.217153,298.8107
2023-08-09 19:00:00+00:00,21.1065,69.03941,21.812769,7.145796,319.0857
2023-08-09 20:00:00+00:00,18.6065,80.35173,19.128393,8.287822,214.3804
2023-08-09 21:00:00+00:00,17.0065,87.731705,17.044018,11.090103,215.75398
2023-08-09 22:00:00+00:00,16.206501,90.53945,16.518465,8.435069,219.80553
2023-08-09 23:00:00+00:00,15.356501,92.55697,15.785847,6.3690495,222.70937
2023-08-10 00:00:00+00:00,14.7565,94.03923,15.172272,5.6002855,224.9999
2023-08-10 01:00:00+00:00,14.0065,95.863304,14.20722,5.991594,212.73521
2023-08-10 02:00:00+00:00,13.7065,95.54123,13.743956,6.28713,203.6294
2023-08-10 03:00:00+00:00,14.0565,95.24224,14.481478,4.3349743,175.23645
2023-08-10 04:00:00+00:00,12.606501,98.3732,12.482983,5.904439,142.43134
2023-08-10 05:00:00+00:00,12.606501,97.088585,12.292532,6.763786,154.7989
2023-08-10 06:00:00+00:00,15.0065,88.12641,15.031122,6.489992,146.3099
2023-08-10 07:00:00+00:00,17.5065,79.94264,18.211092,4.1046314,127.875046
2023-08-10 08:00:00+00:00,19.6065,72.86911,20.193697,6.4096174,141.84273
2023-08-10 09:00:00+00:00,21.4065,66.91511,21.715073,9.346143,164.3577
2023-08-10 10:00:00+00:00,23.1065,65.57325,23.645561,14.241629,196.14441
2023-08-10 11:00:00+00:00,24.0065,63.711224,24.857649,15.463246,204.77512
2023-08-10 12:00:00+00:00,24.0065,60.934364,23.643867,16.62249,197.6502
2023-08-10 13:00:00+00:00,24.6565,60.12003,25.514923,11.901798,183.46815
2023-08-10 14:00:00+00:00,25.6065,55.91499,26.567215,13.084402,187.90707
2023-08-10 15:00:00+00:00,25.456501,57.320892,25.557547,15.815435,191.82146
2023-08-10 16:00:00+00:00,24.6565,59.92901,24.704767,14.77755,182.79265
2023-08-10 17:00:00+00:00,24.1065,60.184017,23.965004,14.830076,185.5721
2023-08-10 18:00:00+00:00,22.956501,62.874283,22.83276,13.627795,192.20045
2023-08-10 19:00:00+00:00,21.2565,69.29064,21.660875,9.746631,184.23631
2023-08-10 20:00:00+00:00,19.6565,75.26208,19.96026,9.779817,186.3401
2023-08-10 21:00:00+00:00,18.8065,79.098656,18.869215,11.304229,189.16228
2023-08-10 22:00:00+00:00,18.1565,82.38525,18.045628,12.496719,191.6336
2023-08-10 23:00:00+00:00,17.456501,87.7715,17.381971,13.0447235,207.97939
2023-08-11 00:00:00+00:00,17.206501,89.16898,17.152472,12.904882,210.1413
2023-08-11 01:00:00+00:00,17.5065,90.052246,17.764395,11.983188,212.73521
2023-08-11 02:00:00+00:00,17.456501,92.08349,17.776426,12.387348,215.53777
2023-08-11 03:00:00+00:00,18.6065,87.03804,18.472195,16.199999,216.86998
2023-08-11 04:00:00+00:00,18.7565,88.16483,18.829287,15.778516,214.77791
2023-08-11 05:00:00+00:00,18.956501,89.58859,19.17566,16.08761,220.46214
2023-08-11 06:00:00+00:00,19.206501,89.32497,19.185444,18.328207,224.9999
2023-08-11 07:00:00+00:00,19.6565,84.6904,19.26535,19.681828,230.19447
2023-08-11 08:00:00+00:00,20.0565,81.575775,19.45073,20.570463,237.14427
2023-08-11 09:00:00+00:00,21.206501,74.79867,20.466518,20.767975,236.3099
2023-08-11 10:00:00+00:00,23.1065,65.57325,22.535854,20.240198,231.49931
2023-08-11 11:00:00+00:00,23.4065,65.01345,22.798946,19.734436,231.66663
2023-08-11 12:00:00+00:00,24.0065,59.39585,22.685108,22.104116,232.94339
2023-08-11 13:00:00+00:00,22.8065,67.415726,21.778143,22.45315,221.09941
2023-08-11 14:00:00+00:00,22.7565,69.80144,21.924269,22.545315,218.51695
2023-08-11 15:00:00+00:00,22.8565,69.160095,22.224182,21.028437,218.04709
2023-08-11 16:00:00+00:00,22.8565,68.722885,22.232222,20.68356,211.47679
2023-08-11 17:00:00+00:00,22.1565,68.585205,21.225246,20.808498,210.11365
2023-08-11 18:00:00+00:00,21.1065,72.43651,20.339426,19.272614,212.79953
2023-08-11 19:00:00+00:00,19.4065,79.947174,19.033937,16.299694,210.52963
2023-08-11 20:00:00+00:00,18.1565,82.38525,17.785858,14.277983,213.6901
2023-08-11 21:00:00+00:00,17.2565,84.15673,16.923433,12.599998,216.86998
2023-08-11 22:00:00+00:00,16.6065,87.69616,16.319248,12.287555,211.82741
2023-08-11 23:00:00+00:00,16.0065,91.40657,15.826372,11.681987,213.6901
2023-08-12 00:00:00+00:00,15.6565,85.079994,14.970972,11.592894,216.15828
2023-08-12 01:00:00+00:00,15.356501,85.605835,14.5483055,11.966954,223.7812
2023-08-12 02:00:00+00:00,14.8065,88.68709,14.1085205,11.212135,222.39738
2023-08-12 03:00:00+00:00,13.9565,93.69647,13.000164,12.984975,223.87679
2023-08-12 04:00:00+00:00,13.856501,95.54632,13.004391,12.738099,222.70937
2023-08-12 05:00:00+00:00,14.106501,95.24406,13.316669,12.783802,212.34741
2023-08-12 06:00:00+00:00,15.356501,89.31171,13.940714,17.673029,213.36638
2023-08-12 07:00:00+00:00,17.3065,80.17478,15.246822,22.691423,221.78442
2023-08-12 08:00:00+00:00,18.6065,72.45493,16.146616,24.703974,223.22856
2023-08-12 09:00:00+00:00,19.6565,67.20603,16.992363,25.741888,222.16582
2023-08-12 10:00:00+00:00,20.7565,60.772476,17.442366,29.01966,224.9999
2023-08-12 11:00:00+00:00,20.956501,60.225986,17.391808,30.85307,228.31104
2023-08-12 12:00:00+00:00,19.8065,67.455925,16.72686,29.810522,222.5529
